# Title: February 2019 - January 2020 New Jersey County Average Temperature
# Units: Degrees Fahrenheit
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
NJ-001,Atlantic County,New Jersey,56.3,125,3.7,52.7
NJ-003,Bergen County,New Jersey,54.1,118,3.1,51
NJ-005,Burlington County,New Jersey,56.3,125,3.4,52.9
NJ-007,Camden County,New Jersey,56.7,126,3.4,53.3
NJ-009,Cape May County,New Jersey,56.7,124,3.6,53.1
NJ-011,Cumberland County,New Jersey,56.6,125,3.5,53.1
NJ-013,Essex County,New Jersey,54.5,120,3.2,51.3
NJ-015,Gloucester County,New Jersey,56.7,123,3.2,53.5
NJ-017,Hudson County,New Jersey,55.9,120,3.1,52.7
NJ-019,Hunterdon County,New Jersey,53,121,3.5,49.6
NJ-021,Mercer County,New Jersey,55.2,123,3.4,51.8
NJ-023,Middlesex County,New Jersey,55.4,122,3.5,51.9
NJ-025,Monmouth County,New Jersey,55.6,123,3.6,52
NJ-027,Morris County,New Jersey,51.9,118,3,48.9
NJ-029,Ocean County,New Jersey,55.7,124,3.5,52.3
NJ-031,Passaic County,New Jersey,52,117,2.8,49.1
NJ-033,Salem County,New Jersey,56.7,124,3.1,53.6
NJ-035,Somerset County,New Jersey,54.1,120,3.4,50.7
NJ-037,Sussex County,New Jersey,50.1,113,2.5,47.6
NJ-039,Union County,New Jersey,55.2,122,3.4,51.8
NJ-041,Warren County,New Jersey,51.4,121,3.2,48.2
